订单号,订单日期,顾客姓名,订单等级,订单数量,销售额,折扣点,运输方式,利润额,单价,运输成本,区域,省份,城市,产品类别,产品子类别,产品名称,产品包箱,运送日期
3,2014/10/13,李鹏晨,低级,6,261.54,0.04,火车,-213.25,38.94,35,华北,河北,石家庄,办公用品,容器，箱子,"Eldon Base for stackable storage shelf, platinum",大型箱子,2014/10/20
6,2016/2/20,王勇民,其它,2,6,0.01,火车,-4.64,2.08,2.56,华南,河南,郑州,办公用品,剪刀，尺子，锯,Kleencut? Forged Office Shears by Acme United Corporation,小型包裹,2016/2/21
32,2015/7/15,姚文文,高级,26,2808.08,0.07,火车,1054.82,107.53,5.81,华南,广东,汕头,家具产品,办公装饰品,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",中型箱子,2015/7/17
32,2015/7/15,姚文文,高级,24,1761.4,0.09,大卡,-1748.56,70.89,89.3,华北,内蒙古,呼和浩特,家具产品,桌子,KI Conference Tables,巨型纸箱,2015/7/16
32,2015/7/15,姚文文,高级,23,160.2335,0.04,火车,-85.129,7.99,5.03,华北,内蒙古,呼和浩特,技术产品,电话通信产品,Bell Sonecor JB700 Caller ID,中型箱子,2015/7/17
32,2015/7/15,姚文文,高级,15,140.56,0.04,火车,-128.38,8.46,8.99,东北,辽宁,沈阳,技术产品,电脑配件,"Imation 3.5 IBM Diskettes, 10/Box",小型包裹,2015/7/16
35,2015/10/22,高亮平,其它,30,288.56,0.03,火车,60.72,9.11,2.25,东北,吉林,长春,办公用品,笔、美术用品,Dixon Ticonderoga Core-Lock Colored Pencils,打包纸袋,2015/10/23
35,2015/10/22,高亮平,其它,14,1892.848,0.01,火车,48.987,155.99,8.99,华南,湖北,武汉,技术产品,电话通信产品,CF 688,小型箱子,2015/10/24
36,2015/11/2,张国华,中级,46,2484.7455,0.1,火车,657.477,65.99,4.2,华南,河南,郑州,技术产品,电话通信产品,6162i,小型箱子,2015/11/2
65,2015/3/17,李丹,中级,32,3812.73,0.02,火车,1470.3,115.79,1.99,华南,广西,南宁,技术产品,电脑配件,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",小型包裹,2015/3/18
66,2013/1/19,谢浩谦,低级,41,108.15,0.09,火车,7.57,2.88,0.7,华北,北京,北京 ,办公用品,笔、美术用品,Newell 340,打包纸袋,2013/1/19
69,2013/6/3,何春梅,其它,42,1186.06,0.09,火车,511.69,30.93,3.92,西北,甘肃,兰州,家具产品,办公装饰品,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",小型包裹,2013/6/5
69,2013/6/3,何春梅,其它,28,51.53,0.03,空运,0.35,1.68,0.7,华南,广东,汕头,办公用品,笔、美术用品,Newell 308,打包纸袋,2013/6/5
70,2014/12/17,张瑶培,低级,48,90.05,0.03,火车,-107,1.86,2.58,华南,广东,汕头,办公用品,橡皮筋,"Super Bands, 12/Pack",打包纸袋,2014/12/22
70,2014/12/17,张瑶培,低级,46,7804.53,0.05,火车,2057.166,205.99,5.99,华北,北京,北京 ,技术产品,电话通信产品,3285,小型箱子,2014/12/22
96,2013/4/16,杨国宇,高级,37,4158.1235,0.01,火车,1228.887,125.99,8.99,华北,北京,北京 ,技术产品,电话通信产品,SC7868i,小型箱子,2013/4/18
97,2014/1/28,胡晓,中级,26,75.57,0.03,火车,28.24,2.89,0.5,西南,四川,成都,办公用品,标签,Avery 498,小型箱子,2014/1/29
129,2016/11/18,黄东亮,低级,4,32.72,0.09,火车,-22.59,6.48,8.19,华南,广西,南宁,办公用品,纸张,Xerox 217,小型箱子,2016/11/27
130,2016/5/7,张宏波,高级,3,461.89,0.05,空运,-309.8244,150.98,13.99,华南,海南,海口,技术产品,办公机器,Canon MP41DH Printing Calculator,中型箱子,2016/5/9
130,2016/5/7,张宏波,高级,29,575.11,0.02,火车,71.75,18.97,9.03,华东,福建,福州,办公用品,纸张,Computer Printout Paper with Letter-Trim Perforations,小型箱子,2016/5/8
130,2016/5/7,张宏波,高级,23,236.46,0.05,火车,-134.31,9.71,9.45,华北,天津,天津 ,办公用品,容器，箱子,Filing/Storage Totes and Swivel Casters,小型箱子,2016/5/10
132,2014/6/10,杨肇辉,中级,27,192.814,0.03,火车,-86.196,7.99,5.03,西北,新疆,乌鲁木齐,技术产品,电话通信产品,Bell Sonecor JB700 Caller ID,中型箱子,2014/6/11
132,2014/6/10,杨肇辉,中级,30,4011.65,0.05,大卡,-603.8,130.98,54.74,西北,新疆,乌鲁木齐,家具产品,书架,"O'Sullivan Elevations Bookcase, Cherry Finish",巨型纸箱,2014/6/13
134,2016/4/30,王震环,其它,11,1132.6,0.01,火车,-310.21,95.99,35,华南,河南,郑州,办公用品,容器，箱子,Safco Industrial Wire Shelving,大型箱子,2016/5/2
135,2015/10/20,齐千郡,其它,25,125.85,0.09,火车,-89.25,4.98,4.62,华南,广东,汕头,技术产品,电脑配件,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",小型包裹,2015/10/22
166,2015/9/11,何春香,高级,10,567.936,0.02,空运,-126.093,65.99,8.99,华南,广东,汕头,技术产品,电话通信产品,i270,小型箱子,2015/9/13
193,2014/8/7,吴磊,中级,14,174.89,0.06,火车,-37.04,12.44,6.27,华南,广东,汕头,办公用品,容器，箱子,Eldon Simplefile? Box Office?,中型箱子,2014/8/9
194,2016/4/4,谢中明,中级,49,329.03,0.1,火车,-197.25,7.28,7.98,华北,山西,太原,家具产品,办公装饰品,"Master Caster Door Stop, Large Neon Orange",打包纸袋,2016/4/6
194,2016/4/4,谢中明,中级,6,20.19,0.04,火车,-13.44,3.14,1.92,东北,辽宁,沈阳,办公用品,剪刀，尺子，锯,Serrated Blade or Curved Handle Hand Letter Openers,打包纸袋,2016/4/6
195,2014/12/27,吕果 ,中级,34,1315.74,0.03,火车,260.87,36.55,13.89,华南,广西,南宁,办公用品,笔、美术用品,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",打包纸袋,2014/12/29
197,2015/4/6,高微微,高级,23,310.52,0.01,火车,33.22,12.98,3.14,华南,海南,海口,办公用品,剪刀，尺子，锯,Acme? 8" Straight Scissors,小型包裹,2015/4/8
224,2013/6/17,鲁鸣,其它,25,184.86,0.09,火车,-33.95,7.38,5.21,华南,海南,海口,家具产品,办公装饰品,"Eldon? Expressions? Wood Desk Accessories, Oak",小型箱子,2013/6/18
224,2013/6/17,鲁鸣,其它,44,267.85,0.04,火车,-65.43,5.98,5.15,华北,北京,北京 ,办公用品,纸张,Xerox 193,小型箱子,2013/6/18
224,2013/6/17,鲁鸣,其它,33,528.5,0.04,火车,-149.92,15.42,10.68,华北,北京,北京 ,办公用品,容器，箱子,"Decoflex Hanging Personal Folder File, Blue",小型箱子,2013/6/18
225,2015/5/24,张子强,中级,24,126.58,0.06,火车,18.27,5.58,0.7,华东,上海,上海,办公用品,笔、美术用品,Newell 314,打包纸袋,2015/5/25
225,2015/5/24,张子强,中级,1,23.7,0.05,火车,-8.97,19.84,4.1,华东,浙江,杭州,办公用品,笔、美术用品,Prismacolor Color Pencil Set,打包纸袋,2015/5/26
229,2014/12/28,张新,中级,43,586.11,0.11,火车,98.44,12.64,4.98,华东,安徽,合肥,家具产品,办公装饰品,Nu-Dell Executive Frame,小型包裹,2014/12/30
229,2014/12/28,俞勇浩,中级,24,599.1,0.02,火车,3.8165,24.92,12.98,华东,江西,南昌,办公用品,夹子及其配件 ,GBC Standard Therm-A-Bind Covers,小型箱子,2014/12/29
230,2014/10/26,赵晓平 ,中级,47,2029.75,0.06,火车,320.37,43.98,8.99,华东,安徽,合肥,办公用品,笔、美术用品,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,小型包裹,2014/10/28
230,2014/10/26,赵晓平 ,中级,11,1118.396,0.06,火车,-212.333,125.99,8.08,华南,广东,汕头,技术产品,电话通信产品,StarTAC ST7762,小型箱子,2014/10/28
231,2013/9/28,张善轩,高级,2,689.74,0.06,火车,-490.84,363.25,19.99,华南,广东,汕头,办公用品,家用电器,Hoover WindTunnel? Plus Canister Vacuum,小型箱子,2013/9/30
258,2014/12/28,王燕生,中级,21,154.35,0,火车,-91.14,6.48,8.74,华南,广东,汕头,办公用品,纸张,Xerox 1984,小型箱子,2014/12/30
258,2014/12/28,王燕生,中级,7,201.36,0,大卡,-284.4,20.98,53.03,华北,北京,北京 ,办公用品,容器，箱子,"Tennsco Lockers, Gray",巨型木箱,2014/12/29
258,2014/12/28,王燕生,中级,33,216.77,0.02,火车,-55.108,6.54,5.27,东北,辽宁,沈阳,办公用品,夹子及其配件 ,Wilson Jones? Four-Pocket Poly Binders,小型箱子,2014/12/30
261,2014/6/28,范钺,中级,47,5677.609,0.04,火车,1680.786,140.99,4.2,东北,辽宁,沈阳,技术产品,电话通信产品,7160,小型箱子,2014/6/29
263,2013/5/16,武骏,高级,25,136.77,0.09,火车,-136.252,5.4,7.78,东北,辽宁,沈阳,办公用品,夹子及其配件 ,3M Organizer Strips,小型箱子,2013/5/17
290,2013/1/5,周毅,其它,24,188.73,0.05,火车,-32.48,7.64,5.83,东北,辽宁,沈阳,办公用品,纸张,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",打包纸袋,2013/1/6
292,2016/1/12,何春香,高级,43,412.62,0.08,火车,175.54,9.9,1.39,东北,辽宁,沈阳,办公用品,信封,#6 3/4 Gummed Flap White Envelopes,小型箱子,2016/1/13
293,2016/10/1,谢平安,高级,49,10123.02,0.07,大卡,457.81,208.16,68.02,华南,广西,南宁,办公用品,家用电器,1.7 Cubic Foot Compact "Cube" Office Refrigerators,巨型木箱,2016/10/2
293,2016/10/1,谢平安,高级,27,244.57,0.01,火车,46.7075,8.69,2.99,华南,河南,郑州,办公用品,夹子及其配件 ,"Cardinal Slant-D? Ring Binder, Heavy Gauge Vinyl",小型箱子,2016/10/3
294,2014/7/15,王志军,中级,35,6375.28,0.06,火车,489.02,193.17,19.99,西北,陕西,西安,办公用品,容器，箱子,Fellowes Staxonsteel? Drawer Files,小型箱子,2014/7/16
322,2016/3/18,李秋富,中级,20,2634.8555,0.08,火车,257.76,155.99,8.08,华南,湖北,武汉,技术产品,电话通信产品,I888 World Phone,小型箱子,2016/3/20
322,2016/3/18,李秋富,中级,46,281,0.1,火车,-291.59,6.48,10.05,华南,广东,汕头,办公用品,纸张,Xerox 1997,小型箱子,2016/3/20
323,2013/3/25,高磊,中级,20,108.09,0.07,火车,25.76,5.68,1.39,华南,广东,汕头,办公用品,信封,Staples Standard Envelopes,小型箱子,2013/3/27
323,2013/3/25,高磊,中级,2,55.34,0.06,火车,-31.24,22.84,11.54,华北,内蒙古,呼和浩特,办公用品,纸张,Xerox 1964,小型箱子,2013/3/27
324,2016/3/19,包小林,中级,25,3872.634,0.02,火车,667.332,179.99,13.99,华东,安徽,合肥,技术产品,电话通信产品,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,中型箱子,2016/3/21
325,2014/10/16,胡晓,低级,9,884.1275,0.06,火车,-178.706,115.99,4.23,西北,甘肃,兰州,技术产品,电话通信产品,282,小型箱子,2014/10/20
326,2015/6/3,郎雨生,高级,34,218.27,0.03,火车,-44.137,5.99,4.92,华北,内蒙古,呼和浩特,办公用品,夹子及其配件 ,"DXL? Angle-View Binders with Locking Rings, Black",小型箱子,2015/6/4
326,2015/6/3,郎雨生,高级,17,100.95,0.05,火车,-21.3,5.81,3.37,华北,内蒙古,呼和浩特,办公用品,橡皮筋,"Advantus Push Pins, Aluminum Head",打包纸袋,2015/6/4
353,2014/12/30,唐俊鹏,低级,21,46.94,0.02,火车,3.88,2.21,1,华北,山西,太原,办公用品,笔、美术用品,"Quartet Alpha? White Chalk, 12/Pack",打包纸袋,2015/4/1
